Complexity,Loss,Equation
1,40.654343,"x1"
2,33.60272,"exp(0.85663337)"
3,33.1943,"exp(cos(x3))"
4,19.378624,"exp(-0.66804326 * x0)"
5,3.0454912,"-1.7558222 + (x0 * x0)"
7,3.029573,"(x0 * (x0 * 0.9776901)) + -1.6640383"
8,1.1184881,"((x0 * x0) + -1.8519831) + cos(x3)"
9,0.95151496,"((x0 * x0) + -3.1192093) + exp(cos(x3))"
10,3.3670763e-13,"-2.0 + ((cos(x3) * 2.5382) + (x0 * x0))"
14,3.3542865e-13,"(-1.270781 * 0.9789671) + (((cos(x3) * 2.5382) + (x0 * x0)) + -0.75594723)"
17,2.869985e-13,"(x0 * x0) + (((cos(x3) * (2.2648973 + sin(exp(-1.2843719)))) + exp(-3.0020275)) + -2.0496862)"
